-4.198497273936235175e+00,-3.973378804330553460e-01
-4.200855117534403327e+00,-1.901582326856000316e-01
-4.203212961132571479e+00,1.702141506185528286e-02
-4.205570804730739631e+00,2.242010628093105695e-01
-4.207928648328906895e+00,4.313807105567659117e-01
-4.210286491927075048e+00,6.385603583042211984e-01
-4.212644335525243200e+00,8.457400060516764295e-01
-4.215002179123411352e+00,1.052919653799131883e+00
-4.217360022721579504e+00,1.260099301546587114e+00
-4.219717866319747657e+00,1.467278949294042345e+00
-4.222075709917914921e+00,1.674458597041497798e+00
-4.224433553516083073e+00,1.881638244788953029e+00
-4.226791397114251225e+00,2.088817892536408483e+00
-4.229149240712419378e+00,2.295997540283863714e+00
-4.231507084310587530e+00,2.503177188031319389e+00
-4.233864927908755682e+00,2.710356835778774620e+00
-4.236222771506922946e+00,2.917536483526229851e+00
-4.238580615105091098e+00,3.124716131273685082e+00
-4.240938458703259251e+00,3.331895779021140314e+00
-4.243296302301427403e+00,3.539075426768595989e+00
-4.245654145899595555e+00,3.746255074516051220e+00
-4.248011989497763707e+00,3.953434722263506007e+00
-4.250369833095930971e+00,4.160614370010961238e+00
-4.252727676694099124e+00,4.367794017758416913e+00
-4.255085520292267276e+00,4.574973665505871701e+00
-4.257443363890435428e+00,4.782153313253327376e+00
-4.257443363890435428e+00,4.782153313253327376e+00
-3.957630788931538746e+00,4.782153313253327376e+00
-3.657818213972642507e+00,4.782153313253327376e+00
-3.358005639013745824e+00,4.782153313253327376e+00
-3.358005639013745824e+00,4.782153313253327376e+00
-3.149895754774766132e+00,4.778659283039196737e+00
-2.941785870535786440e+00,4.775165252825065210e+00
-2.733675986296806748e+00,4.771671222610934571e+00
-2.525566102057827056e+00,4.768177192396803932e+00
-2.317456217818847364e+00,4.764683162182672405e+00
-2.109346333579867228e+00,4.761189131968541766e+00
-1.901236449340887757e+00,4.757695101754411127e+00
-1.693126565101908065e+00,4.754201071540279600e+00
-1.485016680862928373e+00,4.750707041326148961e+00
-1.276906796623948459e+00,4.747213011112018322e+00
-1.068796912384968767e+00,4.743718980897886794e+00
-8.606870281459890748e-01,4.740224950683756155e+00
-6.525771439070093827e-01,4.736730920469625516e+00
-4.444672596680296905e-01,4.733236890255493989e+00
-2.363573754290499984e-01,4.729742860041363350e+00
-2.824749119007030629e-02,4.726248829827232711e+00
1.798623930489093858e-01,4.722754799613101184e+00
3.879722772878890780e-01,4.719260769398970545e+00
5.960821615268687701e-01,4.715766739184839906e+00
8.041920457658489063e-01,4.712272708970708379e+00
1.012301930004828154e+00,4.708778678756577740e+00
1.220411814243808291e+00,4.705284648542447101e+00
1.428521698482787539e+00,4.701790618328315574e+00
1.636631582721767675e+00,4.698296588114184935e+00
1.844741466960746923e+00,4.694802557900054296e+00
2.052851351199727059e+00,4.691308527685922769e+00
2.260961235438705863e+00,4.687814497471792130e+00
2.260961235438705863e+00,4.687814497471792130e+00
2.260961235438705863e+00,4.476982001341217376e+00
2.260961235438705863e+00,4.266149505210641735e+00
2.260961235438705863e+00,4.055317009080066981e+00
2.260961235438705863e+00,3.844484512949492228e+00
2.260961235438705863e+00,3.633652016818917030e+00
2.260961235438705863e+00,3.422819520688341832e+00
2.260961235438705863e+00,3.211987024557767079e+00
2.260961235438705863e+00,3.001154528427191881e+00
2.260961235438705863e+00,2.790322032296616683e+00
2.260961235438705863e+00,2.579489536166041930e+00
2.260961235438705863e+00,2.368657040035466732e+00
2.260961235438705863e+00,2.157824543904891534e+00
2.260961235438705863e+00,1.946992047774316781e+00
2.260961235438705863e+00,1.736159551643741583e+00
2.260961235438705863e+00,1.525327055513166830e+00
2.260961235438705863e+00,1.314494559382591632e+00
2.260961235438705863e+00,1.103662063252016434e+00
2.260961235438705863e+00,8.928295671214416807e-01
2.260961235438705863e+00,6.819970709908664830e-01
2.260961235438705863e+00,4.711645748602917294e-01
2.260961235438705863e+00,2.603320787297160877e-01
2.260961235438705863e+00,4.949958259914166714e-02
2.260961235438705863e+00,4.949958259914166714e-02
2.047855044084224918e+00,4.949958259914166714e-02
1.834748852729743529e+00,4.949958259914166714e-02
1.621642661375262584e+00,4.949958259914166714e-02
1.408536470020781195e+00,4.949958259914166714e-02
1.195430278666300250e+00,4.949958259914166714e-02
9.823240873118190830e-01,4.949958259914166714e-02
7.692178959573379160e-01,4.949958259914166714e-02
5.561117046028567490e-01,4.949958259914166714e-02
3.430055132483755820e-01,4.949958259914166714e-02
1.298993218938946370e-01,4.949958259914166714e-02
-8.320686946058680755e-02,4.949958259914166714e-02
-8.320686946058680755e-02,4.949958259914166714e-02
